name,incl,q,r1,r2,ecc,T2/T1,R2
LC-4PTQ,82.23865752,0.571964433,0.35779483,0.063139545,0.04549496,1.10862398,0.9988
LC-4PWX,82.88584984,0.228534157,0.360456014,0.082514154,0.001510457,0.921515956,0.9967
LC-4Q5P,84.93889783,0.601854813,0.351331398,0.138984018,0.009025584,0.645451883,0.9998
LC-4RCO,84.05350967,0.144298559,0.350243178,0.116651118,0.073694442,0.54987325,0.9988
LC-4TG4,89.32762792,0.23287498,0.270509547,0.181127545,0.010785727,1.10041459,0.9998
LC-4VEC,85.20916446,0.614915996,0.245353438,0.084540072,0.093583057,1.137492898,0.9994
LC-4X6D,83.54370237,0.20680154,0.403922984,0.116212394,0.09654258,1.046436508,0.9985
LC-4YQ8,88.61249359,0.077075784,0.420403086,0.121410406,0.08044483,0.743851168,0.9983
LC-4ZEC,86.63456866,0.725657214,0.302178172,0.183949555,0.039506337,0.897336856,0.9997
LC-50F3,84.41501455,0.073742193,0.33101354,0.086640346,0.075618733,1.024545663,0.9985
LC-57E0,83.99852969,0.503658484,0.332197684,0.117266448,0.120203428,0.798824727,0.9994
LC-58ER,79.84370496,0.095154821,0.412835701,0.139365512,0.168772844,0.870095508,0.9985
LC-59JV,82.08341738,0.376135451,0.403884853,0.105479417,0.024340879,0.801333689,0.9995
LC-5B0W,84.85503455,0.714531399,0.300684693,0.173916898,0.008078191,0.71157378,0.9993
LC-23DW,83.62485937,0.645556184,0.273048373,0.11182695,0.049875496,0.747306955,0.9992
LC-3U8U,86.88115361,0.729167435,0.255241958,0.073232373,0.090069174,1.141009526,0.9984
LC-5CP3,86.70057659,0.171947231,0.37289492,0.139376778,0.070406597,1.165861684,0.9988
LC-7BW8,86.16470087,0.893570611,0.26013363,0.146824495,0.134000801,1.052280408,0.9994
LC-99FG,87.34566477,0.638973686,0.377026741,0.276764682,0.057334097,1.170602001,0.9998
LC-CFGC,75.16687764,0.49574414,0.381413416,0.042117749,0.031116985,0.913629464,0.9987
LC-DXIF,82.85936745,0.711627364,0.299893329,0.145071138,0.011832508,0.786562859,0.9997
LC-FJOW,89.45103744,0.35971024,0.327665878,0.214938542,0.007581134,0.975325528,0.9998
LC-HY02,86.7682712,0.74618362,0.294594566,0.153014978,0.010964722,0.681588754,0.9998
LC-JX0U,85.92258866,0.825271215,0.249236614,0.095934118,0.016959779,0.761878878,0.9991
LC-LQDA,85.14476588,0.314698384,0.360820007,0.225918248,0.050181825,0.770923277,0.9998
LC-NZ8X,89.43126609,0.119465957,0.426873225,0.188439011,0.146104113,1.084910512,0.999
LC-RME4,84.1097956,0.093731508,0.254188067,0.127813449,0.071806636,0.730999587,0.9995
LC-U2WI,81.68325287,0.004205534,0.337010233,0.074109235,0.103605482,0.895612939,0.9974
LC-XEI3,77.35311829,0.105004827,0.509165433,0.162078757,0.029813852,0.774414814,0.9993
LC-S6E4,84.05772396,0.174158741,0.294941673,0.171143876,0.017017237,0.79420272,0.9996
LC-S7YX,89.33905034,0.11997863,0.232879017,0.101090623,0.035336153,1.009324317,0.9989
LC-S8GS,80.01143462,0.147717813,0.481480611,0.200986455,0.022865451,0.663004754,0.9997
LC-S9WP,86.86059983,0.238111971,0.400776212,0.139983,0.06766129,1.01026676,0.9987
LC-SC3J,82.55041017,0.441547293,0.328663113,0.078488641,0.043224671,0.915519488,0.9987
LC-SDLZ,80.52559473,0.047729485,0.34661572,0.119074511,0.033277793,0.786121902,0.9983
LC-SIOA,82.99055578,0.525838712,0.332814927,0.068716055,0.038552789,0.914862855,0.9989
LC-SJUH,88.01121234,0.608976601,0.357790941,0.229875057,0.012913195,1.094338522,0.9996
LC-SPRO,84.89053468,0.06940837,0.283397225,0.150038281,0.149990932,0.654490042,0.9997
LC-SSIV,78.73157404,0.838670352,0.344859258,0.042108261,0.107069081,0.862109548,0.9994
LC-TAXD,86.68672332,0.368082285,0.337567365,0.069774367,0.067742476,0.91814696,0.9978
LC-TJCS,87.13206709,0.229146003,0.296264008,0.169960018,0.02149549,0.93197799,0.9998
LC-TZ1C,85.27923464,0.064669953,0.242797651,0.116396822,0.031534334,0.514274007,0.9993
LC-U118,84.34483576,0.383058653,0.291784126,0.082188966,0.112641037,1.111986979,0.9987
LC-U1HE,89.36773878,0.416330381,0.234588705,0.102209952,0.020604956,0.914250197,0.9996
LC-7CV9,85.92605147,0.649256119,0.304563065,0.143212871,0.162351044,0.981817667,0.9997
LC-7DQ0,80.5066655,0.569642863,0.382320914,0.111558808,0.009415927,0.833751105,0.9994
LC-7F3J,85.72894924,0.200340538,0.373403069,0.162696035,0.103462886,0.938004001,0.9996
LC-7IJI,86.27679765,0.40944657,0.250030807,0.09734343,0.05026777,0.777519801,0.9983
