name,T1,T2,incl,q,r1,r2,ecc,R2
LC-A5WF,9564.600083,5007.472492,87.73148167,0.088152124,0.211674976,0.12839953,0.125727682,0.9995
LC-AGCL,9678.276585,5392.076274,86.56825973,0.031887238,0.247635458,0.119969285,0.007345383,0.9996
LC-AGEZ,11928.39929,6151.921697,81.64119075,0.212058494,0.332021281,0.078723977,0.162722244,0.9983
LC-AW27,11424.02296,6102.846031,86.6043206,0.545044234,0.345975571,0.160655471,0.022963841,0.9997
LC-B6SR,4580.104869,3959.607928,83.83525129,0.526544019,0.336020362,0.189143545,0.110918099,0.9995
LC-BE4I,9347.146997,6763.632219,81.24255917,0.048449494,0.299448631,0.091672236,0.045553841,0.9989
LC-BT2F,4757.899205,4754.108766,87.72219012,0.874198009,0.349020835,0.154442068,0.021334653,0.9994
LC-C58U,8926.668975,8194.811387,88.58517861,0.660460771,0.28027039,0.173898527,0.038325041,0.9999
LC-CGNS,7588.189774,6026.844679,82.19662563,0.637537994,0.319474247,0.136515953,0.064679812,0.9991
LC-CIVM,7558.175612,8250.29215,86.22510023,0.17043441,0.227254244,0.089281028,0.086235091,0.9996
LC-CJC8,11264.33261,7616.295531,88.57300388,0.09450816,0.199040495,0.102860156,0.103041174,0.9996
LC-CL8E,9627.434034,6357.574228,81.51018481,0.221011087,0.277475289,0.114854707,0.006846373,0.9995
LC-CRL2,5069.143061,3992.314191,84.37257425,0.0864338,0.426874216,0.167985215,0.11066773,0.9988
LC-CTAD,8687.480993,6571.102389,78.98882805,0.679031333,0.341370242,0.113956882,0.123074171,0.9995
LC-D54O,9232.061657,5992.278022,81.5946377,0.224188857,0.381533039,0.201351414,0.081852165,0.9997
LC-D64Z,5478.827643,5490.081883,86.97507234,0.059498518,0.267056235,0.155343113,0.030922317,0.9996
LC-DDLP,6701.602795,4989.176923,77.83990939,0.271864935,0.431278829,0.143891923,0.011505263,0.9996
LC-DEZA,5754.833708,6713.57638,82.68588477,0.197288498,0.423603573,0.236762557,0.002899876,0.9997
LC-DFVB,10907.37023,9639.750714,77.20490045,0.137846224,0.461231755,0.168475951,0.085185102,0.9995
LC-DG3E,10266.16022,8342.0004,89.24560452,0.307799286,0.402911361,0.181360821,0.006723887,0.9998
LC-DIME,7794.656309,7312.168425,84.8545447,0.2974236,0.321636151,0.076768411,0.121743733,0.9983
LC-DNLH,6640.29163,4834.511752,87.06239087,0.28194245,0.386329499,0.13640684,0.029850456,0.9984
LC-DTIC,8810.501912,9240.434831,86.98766641,0.5503859,0.35073978,0.198084984,0.038171164,0.9999
LC-DXQE,5534.079619,6350.880535,74.83333293,0.085663717,0.534168113,0.154221801,0.039565391,0.9995
LC-E64A,10809.76179,6360.427354,80.90927932,0.451172741,0.35890427,0.100655846,0.106562893,0.9992
LC-E827,5209.871486,4804.142444,86.36781604,0.882529177,0.25850273,0.140956252,0.051791896,0.9995
LC-EH83,4827.183565,5544.801523,81.01923069,0.309403834,0.32930414,0.087729089,0.014592728,0.9975
LC-EHGS,5124.973208,3853.805912,82.31955588,0.105196105,0.391236961,0.147128188,0.030512909,0.998
LC-EMWL,8206.522875,5880.310068,86.32403403,0.162083586,0.303308077,0.092160202,0.027316935,0.999
LC-EPAZ,10491.249,6290.625926,84.54849286,0.300642546,0.275407058,0.110247182,0.053617741,0.9996
LC-EW07,4685.902866,3964.408331,85.47392692,0.228284943,0.326520386,0.210056378,0.141234219,0.9996
LC-F1L5,11435.86504,7360.573116,86.87150774,0.265135158,0.312891985,0.067558896,0.127251901,0.9988
LC-F2MW,4296.740883,4340.5779,89.49715676,0.176459641,0.410322571,0.094015053,0.088623328,0.9978
LC-F4DQ,8881.955873,7528.576948,82.8666869,0.151031167,0.379531554,0.191040198,0.001492802,0.9997
LC-F5CN,10689.5415,11112.50996,82.6600544,0.127045258,0.501767166,0.207464074,0.005348324,0.9997
